Word,Meaning
aloof,"
----------adjective----------
Meaning: Not friendly or forthcoming; cool and distant.
Example: they were courteous but faintly aloof

(distant,detached,unresponsive,remote,unapproachable,forbidding,stand-offish,formal,impersonal,stiff,austere,stuffy,withdrawn,reserved,unforthcoming,uncommunicative,indifferent,)
"
alterations,"
----------noun----------
Meaning: The action or process of altering or being altered.
Example: careful alteration of old buildings

(change,adjustment,adaptation,modification,variation,conversion,revision,amendment,)
"
altercation,"
----------noun----------
Meaning: A noisy argument or disagreement, especially in public.
Example: I had an altercation with the conductor

(argument,quarrel,squabble,fight,shouting match,contretemps,disagreement,difference of opinion,dissension,falling-out,dispute,disputation,contention,clash,acrimonious exchange,war of words,wrangle,)
"
alternative,"
----------adjective----------
Meaning: (of one or more things) available as another possibility.
Example: the various alternative methods for resolving disputes

(different,other,another,second,possible,substitute,replacement,)

----------noun----------
Meaning: One of two or more available possibilities.
Example: audiobooks are an interesting alternative to reading

(option,choice,other possibility,)
"
although,"
----------conjunction----------
Meaning: In spite of the fact that; even though.
Example: although the sun was shining it wasn't that warm

(in spite of the fact that,despite the fact that,notwithstanding the fact that,notwithstanding that,even though,even if,for all that,while,whilst,)
"
amalgamate,"
----------verb----------
Meaning: Combine or unite to form one organization or structure.
Example: he amalgamated his company with another

(combine,merge,unite,integrate,fuse,blend,mingle,coalesce,consolidate,meld,intermingle,mix,intermix,incorporate,affiliate,)
"
amass,"
----------transitive verb----------
Meaning: Gather together or accumulate (a large amount or number of valuable material or things) over a period of time.
Example: starting from nothing he had amassed a huge fortune

(gather,collect,assemble,)
"
amazing,"
----------adjective----------
Meaning: Causing great surprise or wonder; astonishing.
Example: an amazing number of people registered

(astonishing,astounding,surprising,bewildering,stunning,staggering,shocking,startling,stupefying,breathtaking,perplexing,confounding,dismaying,disconcerting,shattering,)
"
Amazon,"
----------proper noun----------
Meaning: A river in South America that flows more than 4,150 miles (6,683 km) through Peru, Colombia, and Brazil into the Atlantic Ocean. It drains two-fifths of the continent and, in terms of water-flow, is the largest river in the world.
"
ambidextrous,"
"
ambiguous,"
----------adjective----------
Meaning: (of language) open to more than one interpretation; having a double meaning.
Example: ambiguous phrases

(equivocal,ambivalent,open to debate,open to argument,arguable,debatable,)
"
ambition,"
----------noun----------
Meaning: A strong desire to do or achieve something.
Example: her ambition was to become a pilot

(aspiration,intention,goal,aim,objective,object,purpose,intent,plan,scheme,mission,calling,vocation,desire,wish,design,target,end,dream,hope,)
"
ambitious,"
----------adjective----------
Meaning: Having or showing a strong desire and determination to succeed.
Example: his mother was hard-working and ambitious for her four children

(aspiring,determined,forceful,pushy,enterprising,pioneering,progressive,eager,motivated,driven,enthusiastic,energetic,zealous,committed,go-ahead,go-getting,purposeful,assertive,aggressive,hungry,power-hungry,)
"
ambitiously,"
----------adverb----------
Meaning: With the intention of meeting high aspirations, typically by attempting something complex or difficult.
"
ambivalent,"
----------adjective----------
Meaning: Having mixed feelings or contradictory ideas about something or someone.
Example: some loved her, some hated her, few were ambivalent about her

(equivocal,uncertain,unsure,doubtful,indecisive,inconclusive,irresolute,in two minds,undecided,unresolved,in a dilemma,on the horns of a dilemma,in a quandary,on the fence,torn,hesitating,fluctuating,wavering,vacillating,equivocating,mixed,)
"
amble,"
----------verb----------
Meaning: Walk or move at a slow, relaxed pace.
Example: they ambled along the riverbank

(stroll,saunter,wander,meander,ramble,dawdle,promenade,walk,go for a walk,take a walk,potter,roam,traipse,stretch one's legs,get some exercise,get some air,take the air,)

----------noun----------
Meaning: A walk at a slow, relaxed pace, especially for pleasure.
Example: a peaceful riverside amble

(walk,hike,trek,)
"
ambulance,"
"
ameliorate,"
----------transitive verb----------
Meaning: Make (something bad or unsatisfactory) better.
Example: the reform did much to ameliorate living standards

(make better,better,ameliorate,upgrade,refine,enhance,boost,build on,help,raise,revamp,brush up,polish up,perk up,tweak,)
"
amend,"
----------transitive verb----------
Meaning: Make minor changes in (a text) in order to make it fairer, more accurate, or more up-to-date.
Example: the rule was amended to apply only to nonmembers

(revise,alter,change,modify,qualify,adapt,adjust,)
"
amiss,"
----------adjective----------
Meaning: Not quite right; inappropriate or out of place.
Example: there was something amiss about his calculations

(wrong,awry,faulty,out of order,defective,unsatisfactory,incorrect,untoward,adrift,astray,inappropriate,improper,unsuitable,)

"
ammunition,"
----------noun----------
Meaning: A supply or quantity of bullets and shells.
Example: guns, ammunition, and explosives

(bullets,shells,projectiles,missiles,rounds,shot,slugs,cartridges,rockets,bombs,stores,)
"
amnesia,"
----------noun----------
Meaning: A partial or total loss of memory.
Example: they were suffering from amnesia

(forgetfulness,amnesia,poor memory,tendency to forget,lapse of memory,)
"
among,"
----------preposition----------
Meaning: Surrounded by; in the company of.
Example: wild strawberries hidden among the roots of the trees

(surrounded by,in the company of,amid,in the middle of,between,in the thick of,)
----------preposition----------
Meaning: Being a member or members of (a larger set)
Example: snakes are among the animals most feared by humans

(included in,one of,some of,in the group of,in the number of,out of,)
----------preposition----------
Meaning: Indicating a division, choice, or differentiation involving three or more participants.
Example: the king called the three princesses to divide his kingdom among them

(between,to each of,)
"
amortize,"
"
analogy,"
"
analyse,"
----------verb----------
Meaning: Examine (something) methodically and in detail, typically in order to explain and interpret it.
Example: we need to analyse our results more clearly

(examine,inspect,survey,scan,study,scrutinize,look over,peruse,)
"
analyses,"
----------noun----------
Meaning: Detailed examination of the elements or structure of something.
Example: statistical analysis

(examination,investigation,inspection,survey,scanning,study,scrutiny,perusal,)
----------noun----------
Meaning: short for psychoanalysis
"
anatomy,"
----------noun----------
Meaning: The branch of science concerned with the bodily structure of humans, animals, and other living organisms, especially as revealed by dissection and the separation of parts.
----------noun----------
Meaning: A study of the structure or internal workings of something.
Example: Machiavelli's anatomy of the art of war

(analysis,examination,inspection,survey,study,scrutiny,perusal,)
"
ancillary,"
----------adjective----------
Meaning: Providing necessary support to the primary activities or operation of an organization, institution, industry, or system.
Example: the development of ancillary services to support its products

(ancillary,subordinate,secondary,supportive,)

----------noun----------
Meaning: A person whose work provides necessary support to the primary activities of an organization, institution, or industry.
Example: the employment of specialist teachers and ancillaries

(replacement,deputy,relief,proxy,reserve,surrogate,cover,fill-in,stand-in,standby,locum,locum tenens,understudy,stopgap,alternative,ancillary,)
"
anguish,"
----------noun----------
Meaning: Severe mental or physical pain or suffering.
Example: she shut her eyes in anguish

(agony,pain,torment,torture,suffering,distress,angst,misery,sorrow,grief,heartache,heartbreak,wretchedness,unhappiness,woe,desolation,despair,)

----------intransitive verb----------
Meaning: Be extremely distressed about something.
Example: he anguished over how to reply

(agonized,tormented,racked with pain,racked with suffering,tortured,harrowed,)
"
